ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
7;7;COLLEGE D'ENSEIGNEMENT SECONDAIRE POQUELIN;6 RUE MOLIERE;75001;1-7;"{""type"": ""Point"", ""coordinates"": [2.335488359834315, 48.864652867508056]}";48.8646528675, 2.33548835983
8;8;ECOLE ELEMENTAIRE;11 RUE D ARGENTEUIL;75001;1-8;"{""type"": ""Point"", ""coordinates"": [2.33382325877587, 48.864885759679275]}";48.8648857597, 2.33382325878
12;2;INHA;2 RUE VIVIENNE;75002;2-2;"{""type"": ""Point"", ""coordinates"": [2.338842462716922, 48.866498787087174]}";48.8664987871, 2.33884246272
17;7;ECOLE ELEMENTAIRE;20 RUE ETIENNE MARCEL;75002;2-7;"{""type"": ""Point"", ""coordinates"": [2.34831457297985, 48.864140575177004]}";48.8641405752, 2.34831457298
18;8;ECOLE ELEMENTAIRE;42 RUE DUSSOUBS;75002;2-8;"{""type"": ""Point"", ""coordinates"": [2.349694351116603, 48.86716386884836]}";48.8671638688, 2.34969435112
28;8;LYCEE VICTOR HUGO;6 RUE PAYENNE;75003;3-8;"{""type"": ""Point"", ""coordinates"": [2.362275392361232, 48.85782772152068]}";48.8578277215, 2.36227539236
29;9;ECOLE ELEMENTAIRE;211 RUE SAINT MARTIN;75003;3-9;"{""type"": ""Point"", ""coordinates"": [2.35281230895645, 48.86407166584712]}";48.8640716658, 2.35281230896
36;1;MAIRIE D'ARRONDISSEMENT;2 PLACE BAUDOYER;75004;4-1;"{""type"": ""Point"", ""coordinates"": [2.355692851936706, 48.85618806404231]}";48.856188064, 2.35569285194
44;9;ECOLE MATERNELLE;18 RUE POULLETIER;75004;4-9;"{""type"": ""Point"", ""coordinates"": [2.358314136725693, 48.85147074415421]}";48.8514707442, 2.35831413673
51;2;ECOLE ELEMENTAIRE;14 RUE VICTOR COUSIN;75005;5-2;"{""type"": ""Point"", ""coordinates"": [2.342080194144302, 48.84743178987068]}";48.8474317899, 2.34208019414
57;8;ECOLE ELEMENTAIRE;250 bis RUE SAINT JACQUES;75005;5-8;"{""type"": ""Point"", ""coordinates"": [2.341354361031483, 48.84386905152093]}";48.8438690515, 2.34135436103
58;9;LYCEE LAVOISIER;17 RUE HENRI BARBUSSE;75005;5-9;"{""type"": ""Point"", ""coordinates"": [2.3392948055249843, 48.84235456177915]}";48.8423545618, 2.33929480552
64;15;GYMNASE DES PATRIARCHES;5 PLACE BERNARD HALPERN;75005;5-15;"{""type"": ""Point"", ""coordinates"": [2.350808454000061, 48.84058970443601]}";48.8405897044, 2.350808454
68;19;GYMNASE POLIVEAU;39 bis RUE POLIVEAU;75005;5-19;"{""type"": ""Point"", ""coordinates"": [2.3574807517302823, 48.83981215507105]}";48.8398121551, 2.35748075173
69;20;ECOLE ELEMENTAIRE;11 RUE BUFFON;75005;5-20;"{""type"": ""Point"", ""coordinates"": [2.362475969027957, 48.84279872856168]}";48.8427987286, 2.36247596903
71;22;ECOLE ELEMENTAIRE;21 RUE DE PONTOISE;75005;5-22;"{""type"": ""Point"", ""coordinates"": [2.351264111575852, 48.84874986538414]}";48.8487498654, 2.35126411158
74;25;ECOLE ELEMENTAIRE;10 RUE ROLLIN;75005;5-25;"{""type"": ""Point"", ""coordinates"": [2.350853581696584, 48.844748853579695]}";48.8447488536, 2.3508535817
77;3;ECOLE ELEMENTAIRE;9 RUE DE VAUGIRARD;75006;6-3;"{""type"": ""Point"", ""coordinates"": [2.339891246170889, 48.84892065492426]}";48.8489206549, 2.33989124617
78;4;ETABLISSEMENT SCOLAIRE;2 RUE DU PONT DE LODI;75006;6-4;"{""type"": ""Point"", ""coordinates"": [2.340619505842088, 48.854935408898754]}";48.8549354089, 2.34061950584
87;13;CENTRE ANDRE MALRAUX;112 RUE DE RENNES;75006;6-13;"{""type"": ""Point"", ""coordinates"": [2.327529609247871, 48.847869864850495]}";48.8478698649, 2.32752960925
